Welcome to the CBC MILP Solver
Version: Devel (unstable)
Build Date: Apr 26 2022
command line - -import /home/danilo/cbc-test-set/neos-2652786-brda.mps.gz -timeM elapsed -seconds 10800 -solve -solu sol-final-knap/neos-2652786-brda.txt -quit (default strategy 1)
At line 1 NAME          neos-2652786-brda
At line 2 ROWS
At line 346 COLUMNS
At line 2071 RHS
At line 2144 BOUNDS
At line 2658 ENDATA
Problem neos-2652786-brda has 342 rows, 524 columns and 1690 elements
Coin0008I neos-2652786-brda read with 0 errors
seconds was changed from 1e+08 to 10800
Continuous objective value is 0 - 0.028325 seconds
Cgl0004I processed model has 256 rows, 436 columns (436 integer (199 of which binary)) and 1474 elements
Coin3009W Conflict graph built in 0.001 seconds, density: 0.107%
Cgl0015I Clique Strengthening extended 0 cliques, 0 were dominated
Cbc0038I Initial state - 90 integers unsatisfied sum - 13.4999
Cbc0038I Pass   1: suminf.   11.78677 (51) obj. 34.5156 iterations 69
Cbc0038I Pass   2: suminf.    9.27315 (36) obj. 29.7689 iterations 73
Cbc0038I Solution found of 29.7689
Cbc0038I Branch and bound needed to clear up 36 general integers
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 318 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 55 rows 51 columns
Cbc0038I Mini branch and bound improved solution from 1e+50 to 18.7873 (1.24 seconds)
Cbc0038I Round again with cutoff of 16.9085
Cbc0038I Pass   3: suminf.   11.40381 (48) obj. 16.9085 iterations 17
Cbc0038I Pass   4: suminf.    8.41999 (40) obj. 16.9085 iterations 41
Cbc0038I Solution found of 16.9085
Cbc0038I Branch and bound needed to clear up 40 general integers
Cbc0038I Full problem 257 rows 436 columns, reduced to 79 rows 87 columns
Cbc0038I Mini branch and bound could not fix general integers
Cbc0038I No solution found this major pass
Cbc0038I Before mini branch and bound, 322 integers at bound fixed and 0 continuous
Cbc0038I Full problem 256 rows 436 columns, reduced to 54 rows 53 columns
Cbc0038I Mini branch and bound did not improve solution (2.04 seconds)
Cbc0038I After 2.04 seconds - Feasibility pump exiting with objective of 18.7873 - took 4.96 seconds
Cbc0012I Integer solution of 18.787275 found by feasibility pump after 0 iterations and 0 nodes (2.04 seconds)
Cbc0038I Full problem 256 rows 436 columns, reduced to 45 rows 36 columns
Cbc0031I 17 added rows had average density of 42.117647
Cbc0013I At root node, 17 cuts changed objective from 0 to 0 in 17 passes
Cbc0014I Cut generator 0 (Probing) - 9 row cuts average 17.6 elements, 0 column cuts (0 active)  in 0.182 seconds - new frequency is -100
Cbc0014I Cut generator 1 (Gomory) - 72 row cuts average 145.3 elements, 0 column cuts (0 active)  in 0.130 seconds - new frequency is -100
Cbc0014I Cut generator 2 (Knapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.034 seconds - new frequency is -100
Cbc0014I Cut generator 3 (liftKnapsack) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.049 seconds - new frequency is -100
Cbc0014I Cut generator 4 (Clique) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.001 seconds - new frequency is -100
Cbc0014I Cut generator 5 (OddWheel) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.015 seconds - new frequency is -100
Cbc0014I Cut generator 6 (MixedIntegerRounding2) - 31 row cuts average 20.8 elements, 0 column cuts (0 active)  in 0.021 seconds - new frequency is -100
Cbc0014I Cut generator 7 (FlowCover) - 0 row cuts average 0.0 elements, 0 column cuts (0 active)  in 0.025 seconds - new frequency is -100
Cbc0014I Cut generator 8 (TwoMirCuts) - 146 row cuts average 127.6 elements, 0 column cuts (0 active)  in 0.183 seconds - new frequency is -100
Cbc0010I After 0 nodes, 1 on tree, 18.787275 best solution, best possible 0 (4.81 seconds)
Cbc0010I After 1390431 nodes, 48116 on tree, 7.0501246 best solution, best possible 0 (4202.80 seconds)
Cbc0010I After 1390756 nodes, 48112 on tree, 7.0501246 best solution, best possible 0 (4203.51 seconds)
Cbc0010I After 1391055 nodes, 48096 on tree, 7.0501246 best solution, best possible 0 (4204.21 seconds)
Cbc0010I After 1391325 nodes, 48080 on tree, 7.0501246 best solution, best possible 0 (4204.92 seconds)
Cbc0010I After 1391622 nodes, 48072 on tree, 7.0501246 best solution, best possible 0 (4205.63 seconds)
Cbc0010I After 1391931 nodes, 48071 on tree, 7.0501246 best solution, best possible 0 (4206.34 seconds)
Cbc0010I After 1392204 nodes, 48074 on tree, 7.0501246 best solution, best possible 0 (4207.05 seconds)
Cbc0010I After 1392483 nodes, 48072 on tree, 7.0501246 best solution, best possible 0 (4207.76 seconds)
Cbc0010I After 1392802 nodes, 48066 on tree, 7.0501246 best solution, best possible 0 (4208.46 seconds)
Cbc0010I After 1393080 nodes, 48061 on tree, 7.0501246 best solution, best possible 0 (4209.17 seconds)
Cbc0010I After 1393355 nodes, 48054 on tree, 7.0501246 best solution, best possible 0 (4209.88 seconds)
Cbc0010I After 1393687 nodes, 48045 on tree, 7.0501246 best solution, best possible 0 (4210.58 seconds)
Cbc0010I After 1394016 nodes, 48034 on tree, 7.0501246 best solution, best possible 0 (4211.29 seconds)
Cbc0010I After 1394279 nodes, 48036 on tree, 7.0501246 best solution, best possible 0 (4212.00 seconds)
Cbc0010I After 1394595 nodes, 48039 on tree, 7.0501246 best solution, best possible 0 (4212.70 seconds)
Cbc0010I After 1394936 nodes, 48034 on tree, 7.0501246 best solution, best possible 0 (4213.41 seconds)
Cbc0010I After 1395285 nodes, 48037 on tree, 7.0501246 best solution, best possible 0 (4214.12 seconds)
Cbc0010I After 1395581 nodes, 48038 on tree, 7.0501246 best solution, best possible 0 (4214.83 seconds)
Cbc0010I After 1395858 nodes, 48030 on tree, 7.0501246 best solution, best possible 0 (4215.53 seconds)
Cbc0010I After 1396140 nodes, 48017 on tree, 7.0501246 best solution, best possible 0 (4216.24 seconds)
Cbc0010I After 1396411 nodes, 47999 on tree, 7.0501246 best solution, best possible 0 (4216.95 seconds)
Cbc0010I After 1396710 nodes, 47995 on tree, 7.0501246 best solution, best possible 0 (4217.65 seconds)
Cbc0010I After 1396959 nodes, 47965 on tree, 7.0501246 best solution, best possible 0 (4218.36 seconds)
Cbc0010I After 1397089 nodes, 47964 on tree, 7.0501246 best solution, best possible 0 (4219.07 seconds)
Cbc0010I After 1397171 nodes, 47999 on tree, 7.0501246 best solution, best possible 0 (4219.78 seconds)
Cbc0010I After 1397251 nodes, 48034 on tree, 7.0501246 best solution, best possible 0 (4220.49 seconds)
Cbc0010I After 1397334 nodes, 48069 on tree, 7.0501246 best solution, best possible 0 (4221.20 seconds)
Cbc0010I After 1397405 nodes, 48098 on tree, 7.0501246 best solution, best possible 0 (4221.90 seconds)
Cbc0010I After 1397479 nodes, 48128 on tree, 7.0501246 best solution, best possible 0 (4222.61 seconds)
Cbc0010I After 1397550 nodes, 48160 on tree, 7.0501246 best solution, best possible 0 (4223.32 seconds)
Cbc0010I After 1397637 nodes, 48192 on tree, 7.0501246 best solution, best possible 0 (4224.03 seconds)
Cbc0010I After 1397714 nodes, 48219 on tree, 7.0501246 best solution, best possible 0 (4224.74 seconds)
Cbc0010I After 1397798 nodes, 48248 on tree, 7.0501246 best solution, best possible 0 (4225.46 seconds)
Cbc0010I After 1397885 nodes, 48278 on tree, 7.0501246 best solution, best possible 0 (4226.16 seconds)
Cbc0010I After 1397976 nodes, 48285 on tree, 7.0501246 best solution, best possible 0 (4226.88 seconds)
Cbc0010I After 1398242 nodes, 48262 on tree, 7.0501246 best solution, best possible 0 (4227.59 seconds)
Cbc0010I After 1398536 nodes, 48205 on tree, 7.0501246 best solution, best possible 0 (4228.29 seconds)
Cbc0010I After 1398807 nodes, 48121 on tree, 7.0501246 best solution, best possible 0 (4229.00 seconds)
Cbc0010I After 1399055 nodes, 48068 on tree, 7.0501246 best solution, best possible 0 (4229.71 seconds)
Cbc0010I After 1399257 nodes, 48015 on tree, 7.0501246 best solution, best possible 0 (4230.42 seconds)
Cbc0010I After 1399498 nodes, 47948 on tree, 7.0501246 best solution, best possible 0 (4231.13 seconds)
Cbc0010I After 1399691 nodes, 47901 on tree, 7.0501246 best solution, best possible 0 (4231.85 seconds)
Cbc0010I After 1399946 nodes, 47866 on tree, 7.0501246 best solution, best possible 0 (4232.55 seconds)
Cbc0010I After 1400254 nodes, 47887 on tree, 7.0501246 best solution, best possible 0 (4233.26 seconds)
Cbc0010I After 1400606 nodes, 47873 on tree, 7.0501246 best solution, best possible 0 (4233.97 seconds)
Cbc0010I After 1400943 nodes, 47875 on tree, 7.0501246 best solution, best possible 0 (4234.67 seconds)
Cbc0010I After 1401045 nodes, 47886 on tree, 7.0501246 best solution, best possible 0 (4235.38 seconds)
Cbc0010I After 1401110 nodes, 47888 on tree, 7.0501246 best solution, best possible 0 (4236.09 seconds)
Cbc0010I After 1401195 nodes, 47911 on tree, 7.0501246 best solution, best possible 0 (4236.80 seconds)
Cbc0010I After 1401272 nodes, 47935 on tree, 7.0501246 best solution, best possible 0 (4237.52 seconds)
Cbc0010I After 1401354 nodes, 47965 on tree, 7.0501246 best solution, best possible 0 (4238.23 seconds)
Cbc0010I After 1401464 nodes, 48010 on tree, 7.0501246 best solution, best possible 0 (4238.94 seconds)
Cbc0010I After 1401582 nodes, 48056 on tree, 7.0501246 best solution, best possible 0 (4239.65 seconds)
Cbc0010I After 1401677 nodes, 48085 on tree, 7.0501246 best solution, best possible 0 (4240.36 seconds)
Cbc0010I After 1401773 nodes, 48119 on tree, 7.0501246 best solution, best possible 0 (4241.07 seconds)
Cbc0010I After 1401872 nodes, 48153 on tree, 7.0501246 best solution, best possible 0 (4241.79 seconds)
Cbc0010I After 1401983 nodes, 48194 on tree, 7.0501246 best solution, best possible 0 (4242.50 seconds)
Cbc0010I After 1402257 nodes, 48185 on tree, 7.0501246 best solution, best possible 0 (4243.20 seconds)
Cbc0010I After 1402601 nodes, 48167 on tree, 7.0501246 best solution, best possible 0 (4243.91 seconds)
Cbc0010I After 1402914 nodes, 48155 on tree, 7.0501246 best solution, best possible 0 (4244.62 seconds)
Cbc0010I After 1403218 nodes, 48119 on tree, 7.0501246 best solution, best possible 0 (4245.33 seconds)
Cbc0010I After 1403532 nodes, 48067 on tree, 7.0501246 best solution, best possible 0 (4246.04 seconds)
Cbc0010I After 1403840 nodes, 48040 on tree, 7.0501246 best solution, best possible 0 (4246.74 seconds)
Cbc0010I After 1404038 nodes, 48022 on tree, 7.0501246 best solution, best possible 0 (4247.45 seconds)
Cbc0010I After 1404218 nodes, 48060 on tree, 7.0501246 best solution, best possible 0 (4248.16 seconds)
Cbc0010I After 1404471 nodes, 48081 on tree, 7.0501246 best solution, best possible 0 (4248.87 seconds)
Cbc0010I After 1404770 nodes, 48080 on tree, 7.0501246 best solution, best possible 0 (4249.58 seconds)
Cbc0010I After 1404981 nodes, 48105 on tree, 7.0501246 best solution, best possible 0 (4250.28 seconds)
Cbc0010I After 1405292 nodes, 48098 on tree, 7.0501246 best solution, best possible 0 (4250.99 seconds)
Cbc0010I After 1405606 nodes, 48091 on tree, 7.0501246 best solution, best possible 0 (4251.70 seconds)
Cbc0010I After 1405861 nodes, 48077 on tree, 7.0501246 best solution, best possible 0 (4252.40 seconds)
Cbc0010I After 1406125 nodes, 48064 on tree, 7.0501246 best solution, best possible 0 (4253.11 seconds)
Cbc0010I After 1406369 nodes, 48024 on tree, 7.0501246 best solution, best possible 0 (4253.81 seconds)
Cbc0010I After 1406583 nodes, 47979 on tree, 7.0501246 best solution, best possible 0 (4254.52 seconds)
Cbc0010I After 1406757 nodes, 47936 on tree, 7.0501246 best solution, best possible 0 (4255.23 seconds)
Cbc0010I After 1406923 nodes, 47900 on tree, 7.0501246 best solution, best possible 0 (4255.94 seconds)
Cbc0010I After 1407096 nodes, 47919 on tree, 7.0501246 best solution, best possible 0 (4256.65 seconds)
Cbc0010I After 1407273 nodes, 47966 on tree, 7.0501246 best solution, best possible 0 (4257.36 seconds)
Cbc0010I After 1407456 nodes, 48012 on tree, 7.0501246 best solution, best possible 0 (4258.07 seconds)
Cbc0010I After 1407693 nodes, 48058 on tree, 7.0501246 best solution, best possible 0 (4258.77 seconds)
Cbc0010I After 1407891 nodes, 48105 on tree, 7.0501246 best solution, best possible 0 (4259.48 seconds)
Cbc0010I After 1408196 nodes, 48123 on tree, 7.0501246 best solution, best possible 0 (4260.19 seconds)
Cbc0010I After 1408464 nodes, 48102 on tree, 7.0501246 best solution, best possible 0 (4260.89 seconds)
Cbc0010I After 1408737 nodes, 48090 on tree, 7.0501246 best solution, best possible 0 (4261.60 seconds)
Cbc0010I After 1409054 nodes, 48075 on tree, 7.0501246 best solution, best possible 0 (4262.30 seconds)
Cbc0010I After 1409379 nodes, 48053 on tree, 7.0501246 best solution, best possible 0 (4263.01 seconds)
Cbc0010I After 1409637 nodes, 48051 on tree, 7.0501246 best solution, best possible 0 (4263.72 seconds)
Cbc0010I After 1409931 nodes, 48051 on tree, 7.0501246 best solution, best possible 0 (4264.43 seconds)
Cbc0010I After 1410279 nodes, 48047 on tree, 7.0501246 best solution, best possible 0 (4265.14 seconds)
Cbc0010I After 1410577 nodes, 48035 on tree, 7.0501246 best solution, best possible 0 (4265.84 seconds)
Cbc0010I After 1410839 nodes, 48032 on tree, 7.0501246 best solution, best possible 0 (4266.55 seconds)
Cbc0010I After 1411110 nodes, 48022 on tree, 7.0501246 best solution, best possible 0 (4267.26 seconds)
Cbc0010I After 1411318 nodes, 48023 on tree, 7.0501246 best solution, best possible 0 (4267.96 seconds)
Cbc0010I After 1411632 nodes, 48025 on tree, 7.0501246 best solution, best possible 0 (4268.67 seconds)
Cbc0010I After 1411923 nodes, 48001 on tree, 7.0501246 best solution, best possible 0 (4269.38 seconds)
Cbc0010I After 1412202 nodes, 48005 on tree, 7.0501246 best solution, best possible 0 (4270.10 seconds)
Cbc0010I After 1412519 nodes, 48019 on tree, 7.0501246 best solution, best possible 0 (4270.80 seconds)
Cbc0010I After 1412771 nodes, 48018 on tree, 7.0501246 best solution, best possible 0 (4271.51 seconds)
Cbc0010I After 1413022 nodes, 48024 on tree, 7.0501246 best solution, best possible 0 (4272.22 seconds)
Cbc0010I After 1413120 nodes, 48050 on tree, 7.0501246 best solution, best possible 0 (4272.92 seconds)
Cbc0010I After 1413231 nodes, 48085 on tree, 7.0501246 best solution, best possible 0 (4273.63 seconds)
Cbc0010I After 1413348 nodes, 48129 on tree, 7.0501246 best solution, best possible 0 (4274.34 seconds)
Cbc0010I After 1413459 nodes, 48158 on tree, 7.0501246 best solution, best possible 0 (4275.04 seconds)
Cbc0010I After 1413571 nodes, 48196 on tree, 7.0501246 best solution, best possible 0 (4275.75 seconds)
Cbc0010I After 1413653 nodes, 48211 on tree, 7.0501246 best solution, best possible 0 (4276.46 seconds)
Cbc0010I After 1413756 nodes, 48245 on tree, 7.0501246 best solution, best possible 0 (4277.17 seconds)
Cbc0010I After 1413850 nodes, 48283 on tree, 7.0501246 best solution, best possible 0 (4277.88 seconds)
Cbc0010I After 1413997 nodes, 48318 on tree, 7.0501246 best solution, best possible 0 (4278.59 seconds)
Cbc0010I After 1414229 nodes, 48292 on tree, 7.0501246 best solution, best possible 0 (4279.30 seconds)
Cbc0010I After 1414468 nodes, 48276 on tree, 7.0501246 best solution, best possible 0 (4280.01 seconds)
Cbc0010I After 1414737 nodes, 48258 on tree, 7.0501246 best solution, best possible 0 (4280.71 seconds)
Cbc0010I After 1414964 nodes, 48242 on tree, 7.0501246 best solution, best possible 0 (4281.42 seconds)
Cbc0010I After 1415220 nodes, 48234 on tree, 7.0501246 best solution, best possible 0 (4282.13 seconds)
Cbc0010I After 1415472 nodes, 48221 on tree, 7.0501246 best solution, best possible 0 (4282.84 seconds)
Cbc0010I After 1415683 nodes, 48173 on tree, 7.0501246 best solution, best possible 0 (4283.55 seconds)
Cbc0010I After 1415881 nodes, 48126 on tree, 7.0501246 best solution, best possible 0 (4284.26 seconds)
Cbc0010I After 1416072 nodes, 48083 on tree, 7.0501246 best solution, best possible 0 (4284.97 seconds)
Cbc0010I After 1416279 nodes, 48030 on tree, 7.0501246 best solution, best possible 0 (4285.68 seconds)
Cbc0010I After 1416486 nodes, 47995 on tree, 7.0501246 best solution, best possible 0 (4286.38 seconds)
Cbc0010I After 1416773 nodes, 47963 on tree, 7.0501246 best solution, best possible 0 (4287.09 seconds)
Cbc0010I After 1417001 nodes, 47954 on tree, 7.0501246 best solution, best possible 0 (4287.80 seconds)
Cbc0010I After 1417101 nodes, 47988 on tree, 7.0501246 best solution, best possible 0 (4288.51 seconds)
Cbc0010I After 1417182 nodes, 48001 on tree, 7.0501246 best solution, best possible 0 (4289.21 seconds)
Cbc0010I After 1417268 nodes, 48031 on tree, 7.0501246 best solution, best possible 0 (4289.92 seconds)
Cbc0010I After 1417363 nodes, 48073 on tree, 7.0501246 best solution, best possible 0 (4290.64 seconds)
Cbc0010I After 1417465 nodes, 48105 on tree, 7.0501246 best solution, best possible 0 (4291.34 seconds)
Cbc0010I After 1417578 nodes, 48142 on tree, 7.0501246 best solution, best possible 0 (4292.05 seconds)
Cbc0010I After 1417707 nodes, 48182 on tree, 7.0501246 best solution, best possible 0 (4292.77 seconds)
Cbc0010I After 1417815 nodes, 48222 on tree, 7.0501246 best solution, best possible 0 (4293.48 seconds)
Cbc0010I After 1417905 nodes, 48247 on tree, 7.0501246 best solution, best possible 0 (4294.20 seconds)
Cbc0010I After 1418073 nodes, 48253 on tree, 7.0501246 best solution, best possible 0 (4294.90 seconds)
Cbc0010I After 1418296 nodes, 48241 on tree, 7.0501246 best solution, best possible 0 (4295.61 seconds)
Cbc0010I After 1418546 nodes, 48228 on tree, 7.0501246 best solution, best possible 0 (4296.32 seconds)
Cbc0010I After 1418867 nodes, 48222 on tree, 7.0501246 best solution, best possible 0 (4297.03 seconds)
Cbc0010I After 1419193 nodes, 48196 on tree, 7.0501246 best solution, best possible 0 (4297.74 seconds)
Cbc0010I After 1419489 nodes, 48162 on tree, 7.0501246 best solution, best possible 0 (4298.45 seconds)
Cbc0010I After 1419790 nodes, 48131 on tree, 7.0501246 best solution, best possible 0 (4299.16 seconds)
Cbc0010I After 1420078 nodes, 48093 on tree, 7.0501246 best solution, best possible 0 (4299.87 seconds)
Cbc0010I After 1420331 nodes, 48042 on tree, 7.0501246 best solution, best possible 0 (4300.57 seconds)
Cbc0010I After 1420540 nodes, 47978 on tree, 7.0501246 best solution, best possible 0 (4301.28 seconds)
Cbc0010I After 1420864 nodes, 47987 on tree, 7.0501246 best solution, best possible 0 (4301.99 seconds)
Cbc0010I After 1421050 nodes, 47979 on tree, 7.0501246 best solution, best possible 0 (4302.70 seconds)
Cbc0010I After 1421162 nodes, 48011 on tree, 7.0501246 best solution, best possible 0 (4303.40 seconds)
Cbc0010I After 1421276 nodes, 48061 on tree, 7.0501246 best solution, best possible 0 (4304.11 seconds)
Cbc0010I After 1421360 nodes, 48096 on tree, 7.0501246 best solution, best possible 0 (4304.82 seconds)
Cbc0010I After 1421457 nodes, 48131 on tree, 7.0501246 best solution, best possible 0 (4305.53 seconds)
Cbc0010I After 1421550 nodes, 48174 on tree, 7.0501246 best solution, best possible 0 (4306.24 seconds)
Cbc0010I After 1421641 nodes, 48214 on tree, 7.0501246 best solution, best possible 0 (4306.95 seconds)
Cbc0010I After 1421745 nodes, 48253 on tree, 7.0501246 best solution, best possible 0 (4307.66 seconds)
Cbc0010I After 1421838 nodes, 48282 on tree, 7.0501246 best solution, best possible 0 (4308.37 seconds)
Cbc0010I After 1422071 nodes, 48347 on tree, 7.0501246 best solution, best possible 0 (4309.08 seconds)
Cbc0010I After 1422463 nodes, 48348 on tree, 7.0501246 best solution, best possible 0 (4309.79 seconds)
Cbc0010I After 1422774 nodes, 48349 on tree, 7.0501246 best solution, best possible 0 (4310.50 seconds)
Cbc0010I After 1423104 nodes, 48345 on tree, 7.0501246 best solution, best possible 0 (4311.21 seconds)
Cbc0010I After 1423360 nodes, 48352 on tree, 7.0501246 best solution, best possible 0 (4311.91 seconds)
Cbc0010I After 1423658 nodes, 48346 on tree, 7.0501246 best solution, best possible 0 (4312.62 seconds)
Cbc0010I After 1423946 nodes, 48345 on tree, 7.0501246 best solution, best possible 0 (4313.33 seconds)
Cbc0010I After 1424213 nodes, 48350 on tree, 7.0501246 best solution, best possible 0 (4314.04 seconds)
Cbc0010I After 1424447 nodes, 48346 on tree, 7.0501246 best solution, best possible 0 (4314.74 seconds)
Cbc0010I After 1424716 nodes, 48353 on tree, 7.0501246 best solution, best possible 0 (4315.45 seconds)
Cbc0010I After 1424962 nodes, 48351 on tree, 7.0501246 best solution, best possible 0 (4316.16 seconds)
Cbc0010I After 1425248 nodes, 48350 on tree, 7.0501246 best solution, best possible 0 (4316.87 seconds)
Cbc0010I After 1425524 nodes, 48348 on tree, 7.0501246 best solution, best possible 0 (4317.57 seconds)
Cbc0010I After 1425831 nodes, 48354 on tree, 7.0501246 best solution, best possible 0 (4318.28 seconds)
Cbc0010I After 1426135 nodes, 48348 on tree, 7.0501246 best solution, best possible 0 (4318.99 seconds)
Cbc0010I After 1426404 nodes, 48348 on tree, 7.0501246 best solution, best possible 0 (4319.70 seconds)
Cbc0010I After 1426675 nodes, 48348 on tree, 7.0501246 best solution, best possible 0 (4320.40 seconds)
Cbc0010I After 1426932 nodes, 48345 on tree, 7.0501246 best solution, best possible 0 (4321.12 seconds)
Cbc0010I After 1427274 nodes, 48348 on tree, 7.0501246 best solution, best possible 0 (4321.82 seconds)
Cbc0010I After 1427561 nodes, 48352 on tree, 7.0501246 best solution, best possible 0 (4322.53 seconds)
Cbc0010I After 1427875 nodes, 48346 on tree, 7.0501246 best solution, best possible 0 (4323.24 seconds)
Cbc0010I After 1428178 nodes, 48346 on tree, 7.0501246 best solution, best possible 0 (4323.94 seconds)
Cbc0010I After 1428459 nodes, 48350 on tree, 7.0501246 best solution, best possible 0 (4324.65 seconds)
Cbc0010I After 1428762 nodes, 48347 on tree, 7.0501246 best solution, best possible 0 (4325.36 seconds)
Cbc0010I After 1429040 nodes, 48345 on tree, 7.0501246 best solution, best possible 0 (4326.07 seconds)
Cbc0010I After 1429347 nodes, 48367 on tree, 7.0501246 best solution, best possible 0 (4326.77 seconds)
Cbc0010I After 1429704 nodes, 48359 on tree, 7.0501246 best solution, best possible 0 (4327.48 seconds)
Cbc0010I After 1430032 nodes, 48353 on tree, 7.0501246 best solution, best possible 0 (4328.19 seconds)
Cbc0010I After 1430406 nodes, 48358 on tree, 7.0501246 best solution, best possible 0 (4328.89 seconds)
Cbc0010I After 1430625 nodes, 48346 on tree, 7.0501246 best solution, best possible 0 (4329.61 seconds)
Cbc0010I After 1430832 nodes, 48345 on tree, 7.0501246 best solution, best possible 0 (4330.32 seconds)
Cbc0010I After 1431134 nodes, 48345 on tree, 7.0501246 best solution, best possible 0 (4331.02 seconds)
Cbc0010I After 1431532 nodes, 48342 on tree, 7.0501246 best solution, best possible 0 (4331.73 seconds)
Cbc0010I After 1431839 nodes, 48342 on tree, 7.0501246 best solution, best possible 0 (4332.44 seconds)
Cbc0010I After 1432176 nodes, 48339 on tree, 7.0501246 best solution, best possible 0 (4333.14 seconds)
Cbc0010I After 1432506 nodes, 48325 on tree, 7.0501246 best solution, best possible 0 (4333.85 seconds)
Cbc0010I After 1432868 nodes, 48317 on tree, 7.0501246 best solution, best possible 0 (4334.56 seconds)
Cbc0010I After 1433156 nodes, 48304 on tree, 7.0501246 best solution, best possible 0 (4335.26 seconds)
Cbc0010I After 1433372 nodes, 48266 on tree, 7.0501246 best solution, best possible 0 (4335.97 seconds)
Cbc0010I After 1433687 nodes, 48269 on tree, 7.0501246 best solution, best possible 0 (4336.68 seconds)
Cbc0010I After 1434000 nodes, 48265 on tree, 7.0501246 best solution, best possible 0 (4337.39 seconds)
Cbc0010I After 1434254 nodes, 48251 on tree, 7.0501246 best solution, best possible 0 (4338.10 seconds)
Cbc0010I After 1434582 nodes, 48252 on tree, 7.0501246 best solution, best possible 0 (4338.80 seconds)
Cbc0010I After 1434867 nodes, 48249 on tree, 7.0501246 best solution, best possible 0 (4339.51 seconds)
Cbc0010I After 1435136 nodes, 48247 on tree, 7.0501246 best solution, best possible 0 (4340.22 seconds)
Cbc0010I After 1435438 nodes, 48245 on tree, 7.0501246 best solution, best possible 0 (4340.93 seconds)
Cbc0010I After 1435787 nodes, 48245 on tree, 7.0501246 best solution, best possible 0 (4341.64 seconds)
Cbc0010I After 1436189 nodes, 48236 on tree, 7.0501246 best solution, best possible 0 (4342.34 seconds)
Cbc0010I After 1436473 nodes, 48221 on tree, 7.0501246 best solution, best possible 0 (4343.05 seconds)
Cbc0010I After 1436796 nodes, 48204 on tree, 7.0501246 best solution, best possible 0 (4343.76 seconds)
Cbc0010I After 1437100 nodes, 48188 on tree, 7.0501246 best solution, best possible 0 (4344.47 seconds)
Cbc0010I After 1437333 nodes, 48165 on tree, 7.0501246 best solution, best possible 0 (4345.17 seconds)
Cbc0010I After 1437560 nodes, 48140 on tree, 7.0501246 best solution, best possible 0 (4345.88 seconds)
Cbc0010I After 1437806 nodes, 48115 on tree, 7.0501246 best solution, best possible 0 (4346.59 seconds)
Cbc0010I After 1438170 nodes, 48114 on tree, 7.0501246 best solution, best possible 0 (4347.30 seconds)
Cbc0010I After 1438400 nodes, 48115 on tree, 7.0501246 best solution, best possible 0 (4348.01 seconds)
